report_date,product_item_id,product,category,campaign_count,source_campaigns,daily_budget_total,spend_mtd_est,spend_30d,conv_value_30d,roas_30d
2026-07-29,ipc-p3d-3f-pv,"Camera Wi-Fi Dahua IPC-P3D-3F-PV, 3+3MP, Iluminare duala 50m, Alarma, Audio bidirectional, Slot microSD, Rotire si inclinare, Detectie AI, IP66",camere ip wireless,7,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only | Video Views - NO RMKT - NO Product Feed,13500.0,1371.35,1465.92,9129.38,6.228
2026-07-29,ups3100ted,"UPS 1800W - 3100VA TED Electric, 3 prize Schuko, Display LCD, UPS3100TED, TED004673",rack si ups,1,PMax - New - Accesorii Supraveghere,3300.0,1314.27,1404.91,18914.65,13.463
2026-07-29,bp5e,"Camera supraveghere Wi-Fi 6 cu panou solar Dahua APOLLO BP5E, 5MP, dual-band, rotire, inclinare, iluminare Full-Color 30m, detectie AI om/vehicul, AOV",camere ip wireless,4,DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Top Products last 14 days - Feed Only | Video Views - NO RMKT - NO Product Feed,12200.0,1302.88,1392.73,7696.6,5.526
2026-07-29,gkhn22mhlf900a,"Automatizare porti batante Comunello HYRON 220, 2x2.25m, 2x220kg, 24V, 70W, 1500N, IP44, placa HP, GKHN22MHLF900A",porti batante,6,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - New - Automatizari Porti | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,7650.0,1228.32,1313.03,17507.09,13.333
2026-07-29,ted000095,"Stabilizator tensiune servomotor monofazat TED Electric, 15kVA, 12kW, LCD, terminal block, bypass manual, TED000095",rack si ups,1,PMax - Poor Products - Shopping - LOW ROAS,1100.0,1184.52,1266.21,5196.89,4.104
2026-07-29,ipc-k7fp-5h0te-eu,"Camera cu SIM 4G Imou Cruiser SC, 5MP 3K Full Color, Alarma AI, Iluminare Duala 30m, PT, Audio, IPC-K7FP-5H0TE-EU",camere ip wireless,5,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,3500.0,1179.28,1260.61,8078.95,6.409
2026-07-29,ipc-b7ed-5m0tea-eu/fsp14,"Camera supraveghere cu baterie, panou solar si slot cartela SIM Imou AOV 5MP, 4G+Wi-Fi, alarma cu sirena si LEDa, detectie umana, audio, IPC-B7ED-5M0T",camere ip wireless,6,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,13400.0,1178.93,1260.23,4559.34,3.618
2026-07-29,ups_2000va,"UPS cu 2 baterii incluse, 2000VA / 1200W, 4 x Prize schuko cu protectie, Monitorizare de la distanta, UPS_2000VA",rack si ups,2,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Accesorii Supraveghere,6600.0,1137.71,1216.18,13841.73,11.381
2026-07-29,pas.27n,"Post de interior audio Electra PAS.27N, tastatura touch, montaj aparent, carcasa ABS, IP31",interfon,4,DGen - All other categories | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Interfoane | PMax - Top Products last 14 days - Feed Only,6800.0,1114.27,1191.12,10130.46,8.505
2026-07-29,optimo3 uni,"Kit automatizare poarta batanta 2x3 metri Life, OPTIMO3 UNI",porti batante,2,PMax - New - Automatizari Porti | PMax - Top Products last 14 days - Feed Only,5600.0,1096.29,1171.89,8010.91,6.836
