report_date,category,campaign_count,source_campaigns,daily_budget_total,spend_mtd_est,spend_30d,conv_value_30d,roas_30d
2026-08-13,monitoare,3,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Accesorii Supraveghere | PMax - Poor Products - Shopping - LOW ROAS,8000.0,967.54,2307.22,11396.91,4.94
2026-08-13,sisteme sonorizare home,6,DGen - All other categories | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Sonorizari | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,8300.0,950.04,2265.48,18867.89,8.328
2026-08-13,nvr-uri,5,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,6600.0,948.59,2262.03,22240.69,9.832
2026-08-13,sonerie,7,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Interfoane | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,9800.0,851.72,2031.03,14464.4,7.122
2026-08-13,GoogleCategoryID 127,4,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55,2700.0,843.93,2012.45,10481.72,5.208
2026-08-13,interfon,5,DGen - All other categories | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Interfoane | PMax - Poor Products - Shopping - LOW ROAS | PMax - Top Products last 14 days - Feed Only,9100.0,833.14,1986.71,14603.0,7.35
2026-08-13,microfoane,5,DGen - All other categories | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Sonorizari | PMax - Poor Products - Shopping - LOW ROAS | PMax - Top Products last 14 days - Feed Only,7800.0,748.21,1784.2,16169.86,9.063
2026-08-13,aparate de masura,5,DGen - RMKT Only Audiences | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Scule si Unelte,9700.0,737.29,1758.15,17173.88,9.768
2026-08-13,dvr,6,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,8000.0,736.31,1755.81,11593.77,6.603
2026-08-13,echipamente fibra optica,6,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,8000.0,705.52,1682.4,5583.16,3.319
2026-08-13,kit-uri de sonorizare,6,DGen - All other categories | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Sonorizari | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,8300.0,613.25,1462.36,16866.37,11.534
2026-08-13,scule si unelte pentru gradinarit,4,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Scule si Unelte,9200.0,395.94,944.16,2060.98,2.183
2026-08-13,pergole si mobilier gradina,2,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Poor Products - Shopping - LOW ROAS,4700.0,390.97,932.32,4861.1,5.214
2026-08-13,GoogleCategoryID 142,1,PMax - Poor Products - Shopping - LOW ROAS,1400.0,376.48,897.76,2267.11,2.525
2026-08-13,automatizari usi glisante,3,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Automatizari Porti,8550.0,373.23,890.02,4491.81,5.047
2026-08-13,GoogleCategoryID 7261,1,PMax - Poor Products - Shopping - LOW ROAS,1400.0,362.14,863.57,4409.89,5.107
2026-08-13,"dulap scule, depozitare scule",4,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Scule si Unelte,9200.0,355.93,848.75,3721.35,4.384
2026-08-13,accesorii si consumabile,3,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55,5200.0,289.01,689.19,6878.36,9.98
2026-08-13,GoogleCategoryID 1167,4,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55,2700.0,228.72,545.42,2470.95,4.53
2026-08-13,echipamente telecomunicatii,1,PMax - Catch All - Shopping Only - No  Brand - Low tROAS,3300.0,207.64,495.14,6904.45,13.944
2026-08-13,alte aplicatii de control acces,3,DGen - All other categories | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Control Acces,4900.0,198.94,474.39,4101.36,8.646
2026-08-13,kituri supraveghere,2,DGen - Supraveghere | PMax - New - Kituri Supraveghere,3500.0,190.14,453.41,941.5,2.077
2026-08-13,accesorii interfon si videointerfon,1,PMax - Purchase - Accesorii,3300.0,187.48,447.06,821.4,1.837
2026-08-13,siguranta muncii,2,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Poor Products - Shopping - LOW ROAS,4700.0,144.76,345.2,942.89,2.731
2026-08-13,cititoare control acces,3,DGen - All other categories | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Control Acces,4900.0,121.93,290.75,2129.7,7.325
2026-08-13,GoogleCategoryID 594,4,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55,2700.0,110.51,263.52,3057.77,11.604
2026-08-13,GoogleCategoryID 2082,2,PMax - Poor Products - Shopping - LOW ROAS | PMax - Promotii - Full Assets - Male - 25 to 55,1900.0,102.13,243.54,7231.17,29.692
2026-08-13,cabluri si conectori audio,1,PMax - Catch All - Shopping Only - No  Brand - Low tROAS,3300.0,72.42,172.69,932.24,5.398
2026-08-13,pontaj electronic,3,DGen - All other categories | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Control Acces,4900.0,69.76,166.36,885.45,5.323
2026-08-13,GoogleCategoryID 223,1,PMax - Poor Products - Shopping - LOW ROAS,1400.0,39.95,95.26,0.0,0.0
2026-08-13,sisteme audio ip,2,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Sonorizari,3800.0,26.13,62.32,0.0,0.0
2026-08-13,GoogleCategoryID 115,1,PMax - Poor Products - Shopping - LOW ROAS,1400.0,19.22,45.84,26.31,0.574
2026-08-13,GoogleCategoryID 2096,1,PMax - Poor Products - Shopping - LOW ROAS,1400.0,18.35,43.75,10.56,0.241
2026-08-13,GoogleCategoryID 1679,1,PMax - Poor Products - Shopping - LOW ROAS,1400.0,11.22,26.75,0.0,0.0
2026-08-13,camere politie - body camera,1,PMax - Catch All - Shopping Only - No  Brand - Low tROAS,3300.0,10.11,24.11,0.0,0.0
2026-08-13,GoogleCategoryID 855,1,PMax - Poor Products - Shopping - LOW ROAS,1400.0,8.85,21.1,1.63,0.077
2026-08-13,GoogleCategoryID 2862,1,PMax - Promotii - Full Assets - Male - 25 to 55,500.0,0.0,0.0,0.0,0.0
