report_date,month_day,month_days,monthly_budget,spend_mtd,spend_expected,pacing_ratio,forecast_month_end,remaining_budget,forecast_ratio_vs_budget
2026-07-06,6,31,575000.0,114823.36362154839,111290.32258064515,1.0317461658747826,593254.045378,460176.6363784516,1.0317461658747826
2026-07-07,7,31,575000.0,135379.22117277418,129838.70967741935,1.0426722624486957,599536.550908,439620.7788272258,1.0426722624486957
2026-07-08,8,31,575000.0,155919.0245455484,148387.09677419355,1.0507586436765217,604186.220114,419080.97545445163,1.0507586436765217
2026-07-09,9,31,575000.0,177491.0558093226,166935.48387096776,1.063231445427826,611358.0811210001,397508.9441906774,1.0632314454278262
2026-07-10,10,31,575000.0,197366.35926387095,185483.87096774194,1.064062110813913,611835.713718,377633.640736129,1.064062110813913
2026-07-11,11,31,575000.0,214293.68735464514,204032.25806451615,1.0502931712243475,603918.5734539999,360706.3126453549,1.0502931712243477
2026-07-12,12,31,575000.0,232021.12127574193,222580.6451612903,1.042413733267826,599387.896629,342978.87872425804,1.042413733267826
2026-07-13,13,31,575000.0,254875.65625474195,241129.03225806452,1.0570094105547827,607780.411069,320124.34374525805,1.0570094105547827
2026-07-14,14,31,575000.0,277332.0357156774,259677.4193548387,1.0679867213895653,614092.364799,297667.9642843226,1.067986721389565
2026-07-15,15,31,575000.0,297156.07608629036,278225.8064516129,1.0680392299913044,614122.5572450001,277843.92391370964,1.0680392299913046
